essround,idno,yrbrn,agea,eisced,gndr,hincsrca,bthcld,eiscedp,eiscedf,eiscedm,hinctnta,iincsrc
1,509,1953,49,4,2,,,,,,,
1,510,1939,63,7,2,,,,,,,
1,511,1943,59,3,1,,,,,,,
1,512,1950,52,4,1,,,,,,,
1,513,1926,76,7,2,,,,,,,
1,514,1922,80,4,2,,,,,,,
1,515,1970,33,6,2,,,,,,,
1,516,1959,43,2,2,,,,,,,
1,517,1983,20,4,2,,,,,,,
1,518,1979,23,4,1,,,,,,,
1,519,9999,999,7,1,,,,,,,
1,520,1919,83,7,1,,,,,,,
1,521,1956,46,4,1,,,,,,,
1,522,1966,36,4,1,,,,,,,
1,523,1982,20,4,2,,,,,,,
1,524,1975,27,3,2,,,,,,,
1,525,1985,17,2,2,,,,,,,
1,526,1964,38,3,1,,,,,,,
1,527,1948,54,3,1,,,,,,,
1,528,1959,43,4,2,,,,,,,
1,529,1952,50,1,2,,,,,,,
1,530,1963,39,4,2,,,,,,,
1,531,1947,55,2,2,,,,,,,
1,532,1928,74,1,2,,,,,,,
1,533,1974,28,7,2,,,,,,,
1,534,1980,22,4,2,,,,,,,
1,535,1957,45,3,2,,,,,,,
1,536,1968,34,3,1,,,,,,,
1,537,1962,40,4,2,,,,,,,
1,538,1957,45,4,1,,,,,,,
1,539,1937,65,7,1,,,,,,,
1,540,1985,17,2,1,,,,,,,
1,541,1951,51,6,2,,,,,,,
1,542,1931,71,1,2,,,,,,,
1,543,1948,54,4,2,,,,,,,
1,544,1974,28,7,1,,,,,,,
1,545,1941,61,1,1,,,,,,,
1,546,1960,42,4,2,,,,,,,
1,547,1970,32,1,1,,,,,,,
1,548,1954,48,7,2,,,,,,,
1,549,1965,37,2,1,,,,,,,
1,550,1920,82,4,1,,,,,,,
1,551,1985,17,1,1,,,,,,,
1,552,1953,49,2,1,,,,,,,
1,553,1959,43,6,2,,,,,,,
1,554,1934,68,1,1,,,,,,,
1,555,1971,31,4,2,,,,,,,
1,556,1965,37,4,1,,,,,,,
1,557,1987,15,1,2,,,,,,,
1,558,1974,28,3,1,,,,,,,
1,559,1987,15,1,2,,,,,,,
1,560,1968,34,7,1,,,,,,,
1,561,1939,63,4,1,,,,,,,
1,562,1930,72,4,9,,,,,,,
1,563,1953,49,7,1,,,,,,,
1,564,1958,44,2,2,,,,,,,
1,565,1974,29,6,9,,,,,,,
1,566,1986,16,1,2,,,,,,,
1,567,1934,68,4,1,,,,,,,
1,568,1968,34,1,1,,,,,,,
1,569,1962,40,4,2,,,,,,,
1,570,1943,59,6,2,,,,,,,
1,571,1955,48,1,2,,,,,,,
1,572,1949,53,4,1,,,,,,,
1,573,1942,60,6,2,,,,,,,
1,574,1922,80,4,1,,,,,,,
1,575,1960,42,2,2,,,,,,,
1,576,1978,25,6,1,,,,,,,
1,577,1971,32,4,1,,,,,,,
1,578,9999,999,4,2,,,,,,,
1,579,1972,30,6,2,,,,,,,
1,580,1932,70,1,2,,,,,,,
1,581,1986,17,4,2,,,,,,,
1,582,1971,31,7,2,,,,,,,
1,583,1920,82,1,2,,,,,,,
1,584,1959,43,7,2,,,,,,,
1,585,1948,54,6,1,,,,,,,
1,586,1968,34,6,1,,,,,,,
1,587,1982,20,4,1,,,,,,,
1,588,1965,37,6,2,,,,,,,
1,589,1953,49,4,1,,,,,,,
1,590,1935,67,1,2,,,,,,,
1,591,1957,45,6,1,,,,,,,
1,592,1946,57,4,1,,,,,,,
1,593,1962,40,2,9,,,,,,,
1,594,1915,87,1,9,,,,,,,
1,595,1970,32,6,2,,,,,,,
1,596,1971,31,4,9,,,,,,,
1,597,1944,58,2,1,,,,,,,
1,598,1987,15,99,1,,,,,,,
1,599,1957,45,7,2,,,,,,,
1,600,1965,37,6,2,,,,,,,
1,601,9999,999,99,9,,,,,,,
1,602,1923,79,4,1,,,,,,,
1,603,1961,41,2,1,,,,,,,
1,604,1985,17,99,2,,,,,,,
1,605,1933,69,1,1,,,,,,,
1,606,1972,30,6,2,,,,,,,
1,607,1980,23,4,2,,,,,,,
1,608,1974,29,4,1,,,,,,,
1,609,1951,52,2,1,,,,,,,
1,610,1935,68,4,2,,,,,,,
1,611,1943,59,1,1,,,,,,,
1,612,1963,39,3,2,,,,,,,
1,613,1987,15,2,2,,,,,,,
1,614,1924,78,2,9,,,,,,,
1,615,1953,49,1,2,,,,,,,
1,616,1933,69,1,1,,,,,,,
1,617,1985,17,2,1,,,,,,,
1,618,1963,39,2,2,,,,,,,
1,619,1969,34,4,2,,,,,,,
1,620,1968,34,3,2,,,,,,,
1,621,1959,43,3,1,,,,,,,
1,622,1962,40,4,1,,,,,,,
1,623,1953,49,7,1,,,,,,,
1,624,1986,16,2,1,,,,,,,
1,625,9999,999,99,9,,,,,,,
1,626,1930,72,1,2,,,,,,,
1,627,1965,37,3,1,,,,,,,
1,628,1980,22,7,1,,,,,,,
1,629,1947,55,2,1,,,,,,,
1,630,1929,74,2,1,,,,,,,
1,631,1952,50,6,2,,,,,,,
1,632,1911,91,1,2,,,,,,,
1,633,1958,45,2,1,,,,,,,
1,634,1974,28,3,2,,,,,,,
1,635,1969,34,4,1,,,,,,,
1,636,1935,67,1,2,,,,,,,
1,637,1963,40,7,2,,,,,,,
1,638,9999,999,2,1,,,,,,,
1,639,1932,70,2,2,,,,,,,
1,640,9999,999,2,2,,,,,,,
1,641,1977,25,6,2,,,,,,,
1,642,1971,32,6,2,,,,,,,
1,643,1922,80,4,1,,,,,,,
1,644,1983,19,1,2,,,,,,,
1,645,1954,48,1,1,,,,,,,
1,646,1976,26,4,9,,,,,,,
1,647,1918,84,3,2,,,,,,,
1,648,9999,999,3,1,,,,,,,
1,649,1958,44,7,2,,,,,,,
1,650,9999,999,99,9,,,,,,,
1,651,1954,48,3,1,,,,,,,
1,652,1986,16,55,2,,,,,,,
1,653,1918,85,1,2,,,,,,,
1,654,1948,54,6,2,,,,,,,
1,655,1925,77,6,2,,,,,,,
1,656,1959,43,4,1,,,,,,,
1,657,1976,26,6,2,,,,,,,
1,658,1969,33,7,2,,,,,,,
1,659,1958,44,7,1,,,,,,,
1,660,1937,65,2,9,,,,,,,
1,661,1914,89,1,2,,,,,,,
1,662,1929,73,1,2,,,,,,,
1,663,1969,33,6,1,,,,,,,
1,664,1952,51,2,2,,,,,,,
1,665,1935,68,3,1,,,,,,,
1,666,1972,30,2,2,,,,,,,
1,667,9999,999,2,2,,,,,,,
1,668,1929,74,4,1,,,,,,,
1,669,1980,23,4,1,,,,,,,
1,670,1922,81,1,2,,,,,,,
1,671,1982,21,4,2,,,,,,,
1,672,1948,54,2,2,,,,,,,
1,673,1978,25,7,1,,,,,,,
1,674,1966,36,88,1,,,,,,,
1,675,1958,44,4,2,,,,,,,
1,676,1945,57,4,1,,,,,,,
1,677,1971,31,6,2,,,,,,,
1,678,1986,17,2,2,,,,,,,
1,679,9999,999,4,9,,,,,,,
1,680,1984,19,4,1,,,,,,,
1,681,1966,37,4,1,,,,,,,
1,682,9999,999,7,9,,,,,,,
1,683,1972,31,3,2,,,,,,,
1,684,1934,68,4,2,,,,,,,
1,685,1950,52,2,1,,,,,,,
1,686,1972,30,2,1,,,,,,,
1,687,1924,78,1,1,,,,,,,
1,688,1978,24,3,2,,,,,,,
1,689,1978,24,6,2,,,,,,,
1,690,1948,54,3,2,,,,,,,
1,691,9999,999,4,9,,,,,,,
1,692,1958,44,3,1,,,,,,,
1,693,9999,999,6,9,,,,,,,
1,694,1959,43,6,2,,,,,,,
1,695,1980,22,6,1,,,,,,,
1,696,1961,41,2,1,,,,,,,
1,697,9999,999,2,1,,,,,,,
1,698,9999,999,3,2,,,,,,,
1,699,1922,80,99,2,,,,,,,
1,700,1946,57,6,1,,,,,,,
1,701,1938,65,7,1,,,,,,,
1,702,9999,999,6,2,,,,,,,
1,703,1921,81,1,9,,,,,,,
1,704,1932,70,4,1,,,,,,,
1,705,1965,37,88,1,,,,,,,
1,706,1930,72,4,2,,,,,,,
1,707,1972,30,6,1,,,,,,,
1,708,1946,56,6,2,,,,,,,
1,709,1953,49,2,2,,,,,,,
1,710,1964,38,7,2,,,,,,,
1,711,1972,30,7,2,,,,,,,
1,712,1967,35,6,2,,,,,,,
1,713,1951,51,2,2,,,,,,,
1,714,1919,83,1,2,,,,,,,
1,715,1942,60,1,2,,,,,,,
1,716,1971,31,4,1,,,,,,,
1,717,1957,45,7,1,,,,,,,
1,718,1950,52,1,1,,,,,,,
1,719,1985,17,2,2,,,,,,,
1,720,1932,70,55,2,,,,,,,
1,721,1973,29,7,2,,,,,,,
1,722,1978,24,3,1,,,,,,,
1,723,1922,80,2,1,,,,,,,
1,724,1944,58,2,1,,,,,,,
1,725,1980,22,3,1,,,,,,,
1,726,1927,75,1,2,,,,,,,
1,727,1971,31,7,1,,,,,,,
1,728,1938,64,1,2,,,,,,,
1,729,1941,61,1,2,,,,,,,
1,730,1977,25,4,2,,,,,,,
1,731,1954,48,2,2,,,,,,,
1,732,1940,62,4,1,,,,,,,
1,733,1929,73,2,1,,,,,,,
1,734,1917,85,6,1,,,,,,,
